title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3,hasFemaleDirector,hasFemaleWriter,primaryDirGender,primaryWriterGender
"Docks of New York, The",1928,18839.0,5984,2,7.5,5049.0,76,Crime,Drama,Film-Noir,0,0,M,M
Our Dancing Daughters,1928,19237.0,9314,2,6.7,1973.0,85,Drama,,,0,1,M,F
"Cocoanuts, The",1929,19777.0,1953,2,6.8,8220.0,96,Comedy,Musical,Romance,0,0,M,M
Welcome Danger,1929,20572.0,1962,0,5.9,821.0,113,Comedy,,,0,0,M,M
Pandora&#39;s Box (Die B&uuml;chse der Pandora),1929,18737.0,2324,3,7.8,11889.0,109,Crime,Drama,Romance,0,0,M,M
Man with a Movie Camera,1929,19760.0,3897,0,8.3,28071.0,68,Documentary,,,0,0,unknown,unknown
Blackmail,1929,19702.0,5979,2,6.9,12035.0,85,Crime,Drama,Thriller,0,0,M,M
Throw of the Dice,1929,20286.0,6046,0,6.5,1012.0,74,Adventure,Drama,Romance,0,0,M,unknown
Juno and the Paycock [The Shame of Mary Boyle],1929,21015.0,7287,3,4.6,2542.0,85,Comedy,Drama,,0,1,M,M
Broadway Melody,1929,19729.0,8464,3,5.6,8039.0,100,Drama,Musical,Romance,0,0,M,M
"Blue Angel, The",1930,20697.0,1315,1,7.7,16329.0,104,Drama,Music,Romance,0,0,M,M
All Quiet on the Western Front,1930,20629.0,1316,0,8.1,67834.0,152,Drama,War,,0,1,M,M
Anna Christie,1930,20641.0,1326,3,6.6,3515.0,89,Drama,Romance,,0,1,M,F
Ladies of Leisure,1930,21040.0,3713,3,6.7,1395.0,99,Drama,Romance,,0,0,M,M
Morocco,1930,21156.0,3865,1,7.0,7502.0,92,Drama,Romance,,0,0,M,M
L&#39;Age d&#39;Or,1930,21577.0,3871,0,7.2,14840.0,63,Comedy,Drama,,0,0,M,M
Min and Bill,1930,21148.0,3927,3,6.7,1901.0,69,Comedy,Drama,,0,1,M,F
Be Yourself,1930,20670.0,4253,2,5.6,228.0,65,Comedy,Musical,,0,0,unknown,M
"Bat Whispers, The",1930,20668.0,6782,3,6.3,1151.0,83,Crime,Drama,Horror,0,1,M,F
